Area Name,Schm Desc,Rate,Sanct Lim,Balance,Status
Amborkhana,OVERDRAFT-S,9,1500000,982892.11,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,11000000,10795157.66,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,2490000,2285793.8,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,2500000,1573117.89,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,2500000,2327153.93,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,2500000,1645400.44,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,5000000,4415732.17,UN CLASSIFIED
Amborkhana,HOME CREDIT,9,4300000,3179313.45,UN CLASSIFIED
Amborkhana,HOME LOAN,9,3300000,2692638.39,UN CLASSIFIED
Amborkhana,HOME LOAN,9,2600000,1899973.89,UN CLASSIFIED
Amborkhana,HOME LOAN,9,2900000,2887160.6,UN CLASSIFIED
Amborkhana,HOME LOAN,9,4000000,3780577.87,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,0,300000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,0,500000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,0,175000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,0,300000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,9,300000,148532.07,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,0,400000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,0,1000000,0,BAD LOSS WRITE OFF
Amborkhana,PERSONAL LOAN,9,420000,23211.68,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,160000,114838.52,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,21,450000,72086.31,BAD/LOSS
Amborkhana,PERSONAL LOAN,9,1000000,695459.55,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,2000000,1480211.28,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,700000,253866.83,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,240000,118886.91,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,126956.36,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,307183.83,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,185000,114000.38,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,225000,148262.45,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1500000,536810.7,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,200000,184291.57,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,370000,144656.65,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,500000,423642.27,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,17,180000,38325.01,BAD/LOSS
Amborkhana,PERSONAL LOAN,9,1200000,377942.67,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,120000,89762,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,500000,278787.36,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,200000,97212.39,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,180000,56190.56,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,2000000,1274871.03,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,500000,443354.7,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1496000,1150481.85,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1700000,1372003.33,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,180000,146956.95,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,357746.65,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,381984.27,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,200000,19317.31,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,380000,210051.5,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1200000,1040135.63,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,367558.13,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1000000,404745.42,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,327000,220033.49,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,815000,167655.76,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,200000,0,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1000000,320076.36,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,248000,18895.32,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1000000,249260.91,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,300000,0,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1700000,1647729.69,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,220000,23121.67,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,270000,85522,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,300000,189776.16,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,119000,12507.76,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,450000,184992.39,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,300000,74165.99,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,120000,87510.36,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,235000,192487.1,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,800000,677341.07,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,325000,207140.8,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,150000,5008.93,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,314000,253009.46,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,1000000,769101.21,UN CLASSIFIED
Amborkhana,PERSONAL LOAN,9,400000,63074.5,UN CLASSIFIED
